City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bengkulu,ID,-3.8004,102.2655,76.28,90,95,5.99,moderate rain
80,Kajaani,FI,64.2273,27.7285,57.25,58,0,13.8,clear sky
81,Cidreira,BR,-30.1811,-50.2056,60.82,88,99,7.02,overcast clouds
82,Hermanus,ZA,-34.4187,19.2345,59.9,89,52,7.31,broken clouds
83,Narsaq,GL,60.9167,-46.05,50.22,96,100,0.94,light rain
84,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,77,20,14.97,few clouds
85,Vila Velha,BR,-20.3297,-40.2925,73.35,64,20,20.71,few clouds
86,Nsanje,MW,-16.92,35.262,69.64,58,0,7.65,clear sky
87,Klaksvik,FO,62.2266,-6.589,58.12,93,87,10.07,overcast clouds
88,Nanortalik,GL,60.1432,-45.2371,45.75,93,100,6.29,overcast clouds
89,Batagay-Alyta,RU,67.8006,130.4114,51.78,46,66,9.66,broken clouds
90,Bredasdorp,ZA,-34.5322,20.0403,58.28,94,35,2.64,scattered clouds
91,Provideniya,RU,64.3833,-173.3,51.71,84,100,20.04,overcast clouds
92,Silvania,BR,-16.6589,-48.6081,82.36,24,97,3.67,overcast clouds
93,Lubango,AO,-14.9172,13.4925,65.43,22,5,6.26,clear sky
94,Hobart,AU,-42.8794,147.3294,48.06,70,40,1.99,scattered clouds
95,Thompson,CA,55.7435,-97.8558,53.76,87,90,17.27,smoke
96,Nara,JP,34.6851,135.8049,81.25,94,0,0.29,clear sky
97,El Bagre,CO,7.5927,-74.8086,83.64,68,99,2.13,overcast clouds
98,East London,ZA,-33.0153,27.9116,65.19,83,1,10.69,clear sky
99,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,68,20,13.8,few clouds
100,Ribeira Grande,PT,38.5167,-28.7,79.2,73,20,16.11,few clouds
101,Kungurtug,RU,50.5994,97.5228,52.25,85,25,3.4,scattered clouds
102,Port Alfred,ZA,-33.5906,26.891,62.76,88,20,8.39,few clouds
103,Lincoln,US,40.8,-96.667,81.12,54,1,5.01,clear sky
104,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,94,90,9.22,mist
105,Ocote Paulino,HN,15.4167,-87.6,82.6,50,96,3.31,overcast clouds
106,Lavrentiya,RU,65.5833,-171.0,52.79,81,97,13.04,overcast clouds
107,Camocim,BR,-2.9022,-40.8411,88.75,52,38,10.96,scattered clouds
108,Pisco,PE,-13.7,-76.2167,65.01,77,90,6.91,overcast clouds
109,Anshun,CN,26.25,105.9333,67.44,85,4,4.59,clear sky
110,Mitu,CO,1.1983,-70.1733,82.44,56,93,3.02,overcast clouds
111,Vao,NC,-22.6667,167.4833,69.35,75,34,15.32,scattered clouds
112,Yar-Sale,RU,66.8333,70.8333,62.37,71,22,4.05,few clouds
113,Sargur,IN,11.9833,76.4167,68.59,91,66,6.29,broken clouds
114,Aloleng,PH,16.1307,119.7824,82.06,85,97,23.96,overcast clouds
115,Roald,NO,62.5833,6.1333,64.17,72,20,9.22,few clouds
116,Tuktoyaktuk,CA,69.4541,-133.0374,50.36,57,39,6.85,scattered clouds
117,Kindersley,CA,51.4668,-109.1682,77.38,43,4,9.19,clear sky
118,Smolenka,RU,52.1352,113.4974,57.27,100,100,0.0,overcast clouds
119,Quzhou,CN,28.9594,118.8686,77.99,92,100,7.25,light rain
120,Chuy,UY,-33.6971,-53.4616,59.49,64,62,5.19,broken clouds
121,Mecca,SA,21.4267,39.8261,95.22,32,88,11.23,overcast clouds
122,Ha Giang,VN,22.8333,104.9833,80.37,78,100,3.15,overcast clouds
123,Barrow,US,71.2906,-156.7887,44.62,93,75,6.91,mist
124,Clyde River,CA,70.4692,-68.5914,37.63,93,90,8.05,light intensity drizzle
125,Faanui,PF,-16.4833,-151.75,78.94,77,62,13.24,broken clouds
126,Harper,LR,4.375,-7.7169,78.28,81,86,11.23,light rain
127,Lagoa,PT,39.05,-27.9833,73.0,87,1,12.68,clear sky
128,Saint-Pierre,RE,-21.3393,55.4781,67.64,73,90,17.27,overcast clouds
129,Vicosa Do Ceara,BR,-3.5622,-41.0922,85.82,32,72,2.13,broken clouds
130,Beihai,CN,21.4833,109.1,85.77,82,88,17.16,light rain
131,Ivybridge,GB,50.3904,-3.9191,69.26,70,68,9.51,broken clouds
132,Brae,GB,60.3964,-1.353,57.11,78,100,8.81,overcast clouds
133,Atasu,KZ,48.6814,71.6433,73.15,39,15,7.52,few clouds
134,Tsiroanomandidy,MG,-18.7667,46.0333,64.36,62,47,6.73,scattered clouds
135,Pangoa,PE,-12.1167,-73.0,82.35,38,92,4.79,overcast clouds
136,Olinda,BR,-8.0089,-34.8553,76.73,83,75,14.97,broken clouds
137,Maniitsoq,GL,65.4167,-52.9,44.74,92,83,0.98,broken clouds
138,Saint Pete Beach,US,27.7253,-82.7412,88.14,72,20,4.0,few clouds
139,Bari,IT,41.1177,16.8512,97.88,32,0,5.01,clear sky
140,Haines Junction,CA,60.7522,-137.5108,61.54,65,78,2.93,broken clouds
141,Mahebourg,MU,-20.4081,57.7,66.25,74,81,22.48,light rain
142,Beachwood,US,41.4645,-81.5087,80.65,43,1,1.01,clear sky
143,Pacific Grove,US,36.6177,-121.9166,71.15,91,90,4.0,overcast clouds
144,Ketchikan,US,55.3422,-131.6461,61.27,100,90,12.66,mist
145,Gat,IL,31.61,34.7642,92.39,40,0,8.93,clear sky
146,Peachland,CA,49.7665,-119.7357,84.67,42,6,1.99,clear sky
147,Hasaki,JP,35.7333,140.8333,73.8,90,0,2.01,clear sky
148,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,18.41,scattered clouds
149,Salalah,OM,17.0151,54.0924,80.69,89,75,6.91,broken clouds
150,Tasiilaq,GL,65.6145,-37.6368,53.76,75,95,0.45,overcast clouds
151,Hami,CN,42.8,93.45,87.55,10,6,8.19,clear sky
152,Airai,TL,-8.9266,125.4092,55.72,84,49,3.6,scattered clouds
153,Havelock,US,34.8791,-76.9013,75.18,96,90,1.99,mist
154,Bambous Virieux,MU,-20.3428,57.7575,66.22,74,85,22.12,light rain
155,Sorong,ID,-0.8833,131.25,77.76,85,100,3.98,overcast clouds
156,Roma,US,43.2128,-75.4557,79.86,57,1,3.44,clear sky
157,Nome,US,64.5011,-165.4064,71.67,57,1,10.36,clear sky
158,Cherskiy,RU,68.75,161.3,40.59,90,98,5.48,overcast clouds
159,Severo-Kurilsk,RU,50.6789,156.125,51.12,81,100,13.11,overcast clouds
160,Lompoc,US,34.6391,-120.4579,69.85,82,90,5.75,overcast clouds
161,Sao Filipe,CV,14.8961,-24.4956,78.26,87,92,11.05,overcast clouds
162,Santiago De Cao,PE,-7.9589,-79.2392,66.33,82,90,9.22,overcast clouds
163,Edd,ER,13.9297,41.6925,91.45,64,29,9.17,scattered clouds
164,Husavik,IS,66.0449,-17.3389,56.62,77,64,7.29,broken clouds
165,Berdigestyakh,RU,62.0989,126.6992,58.77,63,95,2.8,overcast clouds
166,Port Hedland,AU,-20.3167,118.5667,73.45,17,75,13.8,broken clouds
167,Atengo,MX,20.1667,-99.3333,69.26,62,77,5.57,broken clouds
168,Kloulklubed,PW,7.0419,134.2556,84.07,75,90,8.79,overcast clouds
169,Laguna,US,38.421,-121.4238,96.24,55,1,1.99,clear sky
170,Luderitz,NA,-26.6481,15.1594,56.91,85,3,4.34,clear sky
171,Sakakah,SA,29.9697,40.2064,98.37,9,0,10.38,clear sky
