City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,Yafran,32.0633,12.5286,82.09,30,0,10.45,LY,2021-07-29 19:11:36
69,Vaitape,-16.5167,-151.75,78.8,74,69,15.05,PF,2021-07-29 19:11:37
70,Douglas,41.3,-96.167,95.9,68,75,3.0,US,2021-07-29 19:11:37
71,Mogadishu,2.0371,45.3438,76.37,82,89,20.07,SO,2021-07-29 19:10:52
72,Aswan,24.0934,32.907,94.64,15,100,13.47,EG,2021-07-29 19:11:37
73,Salalah,17.0151,54.0924,78.89,89,75,9.22,OM,2021-07-29 19:10:07
74,Cape Town,-33.9258,18.4232,55.89,90,54,1.01,ZA,2021-07-29 19:11:37
75,Mar Del Plata,-38.0023,-57.5575,54.45,53,0,5.93,AR,2021-07-29 19:11:38
76,Pacific Grove,36.6177,-121.9166,88.81,84,20,3.0,US,2021-07-29 19:09:51
77,Tual,-5.6667,132.75,80.6,84,92,11.9,ID,2021-07-29 19:11:38
78,Gharghoda,22.1667,83.35,74.95,91,100,10.4,IN,2021-07-29 19:11:38
79,Fairbanks,64.8378,-147.7164,63.1,80,90,5.75,US,2021-07-29 19:09:38
80,Ilo,-17.6394,-71.3375,63.32,72,19,6.29,PE,2021-07-29 19:11:39
81,Dingle,10.9995,122.6711,77.32,90,100,6.73,PH,2021-07-29 19:09:40
82,San Fernando,15.0286,120.6898,80.96,94,100,6.26,PH,2021-07-29 19:11:39
83,Arraial Do Cabo,-22.9661,-42.0278,64.26,48,75,23.02,BR,2021-07-29 19:11:39
84,Saskylakh,71.9167,114.0833,68.22,53,12,7.07,RU,2021-07-29 19:11:39
85,Turayf,31.6725,38.6637,85.35,26,0,17.74,SA,2021-07-29 19:11:40
86,Bredasdorp,-34.5322,20.0403,48.27,89,8,6.76,ZA,2021-07-29 19:09:14
87,Richards Bay,-28.783,32.0377,68.02,67,82,13.49,ZA,2021-07-29 19:11:40
88,Humaita,-7.5061,-63.0208,89.91,27,0,6.4,BR,2021-07-29 19:11:40
89,Port Alfred,-33.5906,26.891,59.34,79,3,18.1,ZA,2021-07-29 19:09:14
90,Kapaa,22.0752,-159.319,82.38,74,75,1.99,US,2021-07-29 19:11:40
91,Nikolskoye,59.7035,30.7861,69.69,83,32,3.02,RU,2021-07-29 19:11:41
92,Tsagan Aman,47.5639,46.7218,84.61,26,89,18.16,RU,2021-07-29 19:11:41
93,Bonfim,3.0833,-59.95,74.61,88,100,3.53,BR,2021-07-29 19:11:41
94,East London,-33.0153,27.9116,61.86,68,0,18.81,ZA,2021-07-29 19:09:16
95,Sungaipenuh,-2.0833,101.3833,64.04,97,60,1.12,ID,2021-07-29 19:11:41
96,Saldanha,-33.0117,17.9442,53.82,87,0,4.85,ZA,2021-07-29 19:11:42
97,Vila Franca Do Campo,37.7167,-25.4333,72.01,70,13,5.55,PT,2021-07-29 19:10:55
98,Saint-Philippe,-21.3585,55.7679,69.39,85,71,17.52,RE,2021-07-29 19:10:05
99,Plettenberg Bay,-34.0527,23.3716,55.58,77,32,5.19,ZA,2021-07-29 19:11:35
100,Kavieng,-2.5744,150.7967,82.06,75,9,5.73,PG,2021-07-29 19:11:42
101,Grand Gaube,-20.0064,57.6608,69.39,79,50,11.01,MU,2021-07-29 19:11:42
102,Honningsvag,70.9821,25.9704,44.73,85,100,11.21,NO,2021-07-29 19:11:43
103,Polunochnoye,60.8697,60.4153,42.62,83,14,1.7,RU,2021-07-29 19:11:43
104,Baiyin,36.5583,104.2081,73.87,26,1,1.34,CN,2021-07-29 19:11:43
105,Oistins,13.0667,-59.5333,86.09,66,20,13.8,BB,2021-07-29 19:11:43
106,Georgetown,5.4112,100.3354,81.9,82,20,3.44,MY,2021-07-29 19:11:23
107,Saint-Joseph,-21.3667,55.6167,68.38,82,43,17.31,RE,2021-07-29 19:11:44
108,Singaraja,-8.112,115.0882,77.92,78,97,4.56,ID,2021-07-29 19:11:44
109,Castro,-24.7911,-50.0119,47.26,41,0,5.46,BR,2021-07-29 19:11:44
